Keywords,Category
0.0,3
0.0,0
0.0,1
0.0,2
0.0,2
0.0,0
0.0,5
0.0,5
0.0,1
0.0,2
0.0,3
0.0,5
0.0,3
0.0,2
0.0,3
0.0,4
0.0,4
0.0,5
0.0,4
0.0,3
0.0,4
0.0,2
0.0,1
0.0,3
0.0,1
0.0,0
0.0,4
0.0,5
0.0,3
0.0,4
0.0,2
0.0,0
0.0,0
0.0,2
0.0,3
0.0,4
0.0,1
0.0,4
0.0,0
0.0,4
0.0,1
0.0,1
0.0,0
0.0,3
0.0,5
0.0,3
0.0,4
0.0,0
0.0,1
0.14052179143071622,3
0.0683484025112351,5
0.0,1
0.0,2
0.0,1
0.0,1
0.0,4
0.0,3
0.0,3
0.0,2
0.0,5
0.0,4
0.0,4
0.0,4
0.0,1
0.0,2
0.07427194564797725,3
0.0,1
0.0,5
0.0,2
0.0,1
0.0,3
0.0,0
0.0,1
0.0,1
0.0,2
0.0,2
0.0,4
0.0,0
0.0,1
0.0,2
0.0,5
0.0,2
0.0,2
0.08147249733397365,3
0.0,2
0.0,4
0.0,1
0.0,1
0.0,3
0.0,3
0.0,5
0.0,4
0.0,3
0.0,5
0.0,0
0.0,5
0.0,2
0.0,3
0.0,5
0.0,2
0.0,4
0.0,5
0.05526866033791317,3
0.0,5
0.0,4
0.0,1
0.0,0
0.0,0
0.0,0
0.0,4
0.10487355687156852,1
0.0,5
0.0,0
0.0,4
0.0,2
0.0,2
0.0,0
0.0,1
0.0,1
0.0,0
0.08409784574852168,5
0.09823169250959253,5
0.0,2
0.0,4
0.0,5
0.0,3
0.0,0
0.0,3
0.0,4
0.08331946620345808,1
0.0,4
0.0,2
0.0,2
0.0,3
0.0,4
0.0,4
0.0,4
0.13041766860306486,1
0.0,5
0.0,3
0.0,2
0.0,5
0.0,4
0.0,0
0.0,1
0.0,2
0.0,0
0.0,0
0.0,2
0.0,5
0.0,0
0.0,4
0.0,3
0.0,3
0.0,1
0.0,5
0.0,3
0.0,4
0.0,2
0.0,4
0.0,0
0.0,3
